"mfr_id","user_id","city_name","mfr_distance","start_point_lng","start_point_lat","end_point_lng","end_point_lat","start_type","end_type","walk","bike","bus","car_pooling","car","motorbike","frequency","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","created_at","deleted_at"
1527,1284,"Katowice",8,19.0835409,50.2081794,18.9997922,50.2554844,1,2,0,0,1000,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-30 15:08:45.508451",NULL
523,490,"Amsterdam",10,4.9749374,52.2674668,4.9022964,52.340703,1,2,0,100,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-06 07:50:50.249313",NULL
2342,1948,"Roma",10,12.4879082,41.9599167,12.4911560585806,41.8686514566582,2,1,0,10000,1000,0,0,1000,1,true,true,true,true,true,false,false,"18:0","19:32","2019-05-31 05:38:36.98126",NULL
3162,3246,"Teresina",0,-42.7890098800199,-5.08473120711503,-42.7893571768012,-5.08491863566788,12,12,10000,0,0,0,0,0,1,true,true,true,true,true,true,true,"18:37","18:53","2019-08-28 22:14:25.832279",NULL
1652,1409,"München",5,11.5328869628704,48.1717816425257,11.5754485,48.1373932,1,2,10,0,10,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-04-16 11:25:36.893575",NULL
2600,1913,"Barcelona",4,2.1495969,41.3836593,2.1924315,41.401782,1,2,10000,0,10000,0,0,0,1,true,true,true,true,true,false,false,"9:30","19:0","2019-06-17 07:13:17.517208",NULL
NULL,2892,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
792,663,"Gent",0,0.0,0.0,0.0,0.0,1,12,0,10000,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-01-10 07:05:02.719734","2019-02-03 08:37:07.690831"
3568,4426,"München",4,11.6429688,48.1291296,11.5838009,48.1320729,1,2,0,9000,1000,0,0,0,1,true,true,true,true,true,false,false,"8:15","17:15","2019-10-09 09:23:29.360409","2019-10-09 09:24:21.979089"
773,681,"Palermo",0,0.0,0.0,0.0,0.0,1,2,30,20,10,20,80,10,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-01-01 13:51:39.586881",NULL
2514,2160,"Palermo",9,13.32499,38.17012,13.3469834,38.0930177,1,2,1000,10000,0,0,0,0,1,true,true,true,true,true,false,false,"7:25","21:0","2019-06-08 12:09:45.366826","2019-06-08 12:11:37.023295"
2843,1954,"Barcelona",1,2.1112083,41.38776,2.1219467,41.3771531,2,0,10000,0,2000,0,0,0,1,true,true,true,true,true,false,false,"16:27","16:53","2019-07-12 17:33:59.398998",NULL
NULL,1857,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1833,"Gliwice",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1496,1290,"Palermo",2,13.3356109920288,38.1304180576818,13.3571336,38.1207603,1,0,50,0,70,0,0,0,1,false,false,false,false,true,true,true,"16:30","21:0","2019-03-27 20:50:05.388013",NULL
NULL,2648,"Amsterdam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2699,2292,"Barcelona",4,2.1550732,41.4088919,2.1118502,41.3874024,1,2,0,0,2000,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-06-25 05:57:58.56926",NULL
1786,1513,"Roma",1,12.4656376,41.9205605,12.469947,41.9274367,1,2,10,40,0,0,10,70,1,true,true,true,true,true,false,false,"9:30","19:30","2019-05-11 18:29:11.626114",NULL
2429,2106,"Teresina",9,-42.7471719999999,-5.0698626,-42.7795307,-5.14669349999999,4,1,0,0,10000,0,0,0,1,true,true,true,true,true,false,false,"16:0","17:00","2019-06-05 00:14:31.351864",NULL
187,198,"Roma",1,12.0779014,41.9479962,12.0717488,41.9597269,1,4,100,0,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-26 14:02:25.489935",NULL
NULL,4926,"Palermo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,148,"Fundão",0,-7.4978479,40.139861,-7.499689,40.1363485,1,2,100,0,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-22 08:48:59.60969",NULL
NULL,2178,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
